Area Code [Note 1]	UK Country	Passport Held [Note 3b]	Passport Held [Note 3a]	Count
E92000001	England	EU countries	Europe: EU countries: European Union EU14	77820
E92000001	England	EU countries	Europe: EU countries: European Union EU8	26490
E92000001	England	EU countries	Europe: EU countries: European Union EU2	43310
E92000001	England	EU countries	Europe: Other Europe: EU countries	6135
E92000001	England	Non-EU countries	Europe: Other Europe: Non-EU countries	10630
E92000001	England	Non-EU countries	Middle East and Asia	137735
E92000001	England	Non-EU countries	Africa	36325
E92000001	England	Non-EU countries	The Americas and the Caribbean	20470
E92000001	England	Non-EU countries	Antarctica and Oceania	1985
E92000001	England	Non-EU countries	British Overseas Territories	[c]
